nw,rowcol,time
4,16,19868
4,16,19141
4,16,19524
4,16,20619
4,16,19855
4,16,20185
4,16,19079
4,16,19190
4,16,19023
4,16,19724
4,32,85698
4,32,73884
4,32,81343
4,32,84062
4,32,80010
4,32,83089
4,32,78579
4,32,82331
4,32,80818
4,32,85776
4,64,350944
4,64,351422
4,64,340979
4,64,339295
4,64,333028
4,64,349517
4,64,348291
4,64,339839
4,64,341198
4,64,343985
4,128,1516463
4,128,1427160
4,128,1437404
4,128,1404264
4,128,1395135
4,128,1468474
4,128,1490715
4,128,1442482
4,128,1434034
4,128,1472723
4,256,5922713
4,256,5877401
4,256,5880882
4,256,5877179
4,256,5777220
4,256,5784231
4,256,5853266
4,256,5774329
4,256,6032316
4,256,5878353
8,16,27147
8,16,25400
8,16,25302
8,16,25999
8,16,25248
8,16,26284
8,16,25816
8,16,26310
8,16,24753
8,16,25585
8,32,95034
8,32,97768
8,32,97387
8,32,94564
8,32,92862
8,32,95692
8,32,95960
8,32,94283
8,32,98659
8,32,95826
8,64,410524
8,64,412314
8,64,403613
8,64,420143
8,64,403919
8,64,445321
8,64,440415
8,64,398732
8,64,415847
8,64,441778
8,128,1711428
8,128,1655271
8,128,1763450
8,128,1678802
8,128,1660629
8,128,1589285
8,128,1647490
8,128,1793028
8,128,1691047
8,128,1526867
8,256,6563000
8,256,6342238
8,256,7023696
8,256,6370237
8,256,6368185
8,256,6885926
8,256,6740827
8,256,6881245
8,256,6669560
8,256,6812302
16,16,26928
16,16,25209
16,16,25043
16,16,24636
16,16,24217
16,16,24552
16,16,25938
16,16,24646
16,16,23932
16,16,24845
16,32,79587
16,32,77986
16,32,78715
16,32,78893
16,32,78440
16,32,77076
16,32,79597
16,32,78147
16,32,79927
16,32,81340
16,64,313290
16,64,315287
16,64,311118
16,64,313691
16,64,315377
16,64,316784
16,64,313928
16,64,320598
16,64,313607
16,64,323872
16,128,1328832
16,128,1342708
16,128,1276497
16,128,1275485
16,128,1318176
16,128,1304488
16,128,1291868
16,128,1299048
16,128,1261806
16,128,1273111
16,256,5270455
16,256,5153388
16,256,5135072
16,256,5162310
16,256,5099400
16,256,5037671
16,256,5076471
16,256,5154349
16,256,5162282
16,256,5274268
32,16,30936
32,16,29558
32,16,28586
32,16,31018
32,16,29547
32,16,29830
32,16,32251
32,16,30185
32,16,30043
32,16,29540
32,32,89149
32,32,88569
32,32,86648
32,32,90402
32,32,89351
32,32,90102
32,32,87124
32,32,90080
32,32,88858
32,32,87398
32,64,323579
32,64,321027
32,64,316049
32,64,315662
32,64,321953
32,64,309742
32,64,312769
32,64,314100
32,64,321226
32,64,331549
32,128,1287761
32,128,1219894
32,128,1275375
32,128,1281515
32,128,1196502
32,128,1270908
32,128,1238371
32,128,1238305
32,128,1238849
32,128,1249534
32,256,5132536
32,256,5041628
32,256,5075032
32,256,4854158
32,256,4829814
32,256,4891791
32,256,5065102
32,256,5056579
32,256,4858715
32,256,5055338
64,16,48004
64,16,44617
64,16,43426
64,16,47587
64,16,48583
64,16,44651
64,16,43408
64,16,43013
64,16,43587
64,16,44132
64,32,113626
64,32,110523
64,32,112184
64,32,113564
64,32,113726
64,32,112093
64,32,113520
64,32,110235
64,32,113866
64,32,151184
64,64,356760
64,64,346560
64,64,336581
64,64,333777
64,64,340533
64,64,367867
64,64,370204
64,64,339735
64,64,332405
64,64,340162
64,128,1278321
64,128,1316219
64,128,1342112
64,128,1305134
64,128,1261406
64,128,1328128
64,128,1335784
64,128,1285518
64,128,1322778
64,128,1327487
64,256,4930596
64,256,5030727
64,256,5056728
64,256,5005991
64,256,5076863
64,256,4839098
64,256,5011668
64,256,5057714
64,256,4966388
64,256,5056046
128,16,85811
128,16,89119
128,16,86656
128,16,87988
128,16,86569
128,16,88942
128,16,89553
128,16,87116
128,16,86910
128,16,91007
128,32,170443
128,32,171306
128,32,170249
128,32,171384
128,32,174756
128,32,171740
128,32,175662
128,32,173829
128,32,175382
128,32,171646
128,64,450778
128,64,460564
128,64,453331
128,64,456082
128,64,452874
128,64,463684
128,64,462816
128,64,446644
128,64,456454
128,64,457294
128,128,1686951
128,128,1729468
128,128,1678532
128,128,1685239
128,128,1711539
128,128,1690062
128,128,1691308
128,128,1701213
128,128,1693945
128,128,1695083
128,256,6374982
128,256,6420948
128,256,6345745
128,256,6573324
128,256,6471303
128,256,6567201
128,256,6491072
128,256,6639662
128,256,6518705
128,256,6533435
256,16,1775201
256,16,1505698
256,16,1545607
256,16,1486655
256,16,1462870
256,16,1457894
256,16,1595889
256,16,1607844
256,16,1634485
256,16,1597209
256,32,1819310
256,32,1783519
256,32,1732392
256,32,1742456
256,32,1765502
256,32,1752637
256,32,1786891
256,32,2026235
256,32,1833621
256,32,1753241
256,64,2454716
256,64,2305155
256,64,2430964
256,64,2446460
256,64,2396228
256,64,2514846
256,64,2410085
256,64,2299492
256,64,2435161
256,64,2398342
256,128,4705945
256,128,4660287
256,128,4335215
256,128,4396116
256,128,4315336
256,128,4237961
256,128,4178027
256,128,4239027
256,128,4221091
256,128,4230350
256,256,12114194
256,256,12977572
256,256,12467816
256,256,12601265
256,256,12224483
256,256,11975025
256,256,12207956
256,256,12839116
256,256,12786044
256,256,12875771
