nw,rowcol,time
4,16,5669
4,16,5978
4,16,5806
4,16,5585
4,16,5646
4,16,5719
4,16,5450
4,16,5453
4,16,5619
4,16,5467
4,32,19874
4,32,19817
4,32,19405
4,32,19920
4,32,19662
4,32,19648
4,32,19888
4,32,19721
4,32,20136
4,32,20027
4,64,68380
4,64,66971
4,64,69342
4,64,69017
4,64,70050
4,64,69296
4,64,70134
4,64,67572
4,64,70301
4,64,69354
4,128,262118
4,128,255084
4,128,263647
4,128,254005
4,128,267884
4,128,230599
4,128,243927
4,128,266152
4,128,261993
4,128,270270
4,256,892943
4,256,888230
4,256,893150
4,256,890487
4,256,886006
4,256,906809
4,256,854473
4,256,927930
4,256,884942
4,256,935019
8,16,9310
8,16,9272
8,16,9324
8,16,9274
8,16,9101
8,16,9286
8,16,9307
8,16,9312
8,16,9199
8,16,9184
8,32,29056
8,32,28932
8,32,29253
8,32,29234
8,32,29199
8,32,28662
8,32,28964
8,32,29625
8,32,29207
8,32,29364
8,64,88869
8,64,88586
8,64,89616
8,64,90998
8,64,90847
8,64,89576
8,64,89420
8,64,89617
8,64,89195
8,64,87686
8,128,314089
8,128,303450
8,128,310235
8,128,314687
8,128,313737
8,128,311391
8,128,314670
8,128,311894
8,128,310090
8,128,313935
8,256,990248
8,256,1008320
8,256,1000179
8,256,1015302
8,256,961586
8,256,1005605
8,256,979268
8,256,952093
8,256,1015325
8,256,996910
16,16,16610
16,16,16557
16,16,16790
16,16,16631
16,16,16474
16,16,16314
16,16,16639
16,16,16685
16,16,16359
16,16,16733
16,32,49944
16,32,49379
16,32,50874
16,32,50239
16,32,50050
16,32,49851
16,32,49355
16,32,50648
16,32,49767
16,32,50170
16,64,131295
16,64,127981
16,64,134128
16,64,131849
16,64,132926
16,64,131311
16,64,131386
16,64,131312
16,64,131594
16,64,130340
16,128,407941
16,128,407566
16,128,408080
16,128,390560
16,128,407197
16,128,404310
16,128,409534
16,128,407007
16,128,408121
16,128,405833
16,256,1171809
16,256,1173091
16,256,1186245
16,256,1157450
16,256,1125039
16,256,1165308
16,256,1110309
16,256,1171382
16,256,1175129
16,256,1173707
32,16,30371
32,16,30060
32,16,30004
32,16,30227
32,16,30064
32,16,30360
32,16,29995
32,16,29799
32,16,29944
32,16,29321
32,32,86806
32,32,87657
32,32,86024
32,32,86024
32,32,87213
32,32,88148
32,32,89175
32,32,87376
32,32,87770
32,32,82507
32,64,211361
32,64,211300
32,64,212910
32,64,213456
32,64,205435
32,64,215512
32,64,215360
32,64,208929
32,64,211509
32,64,214273
32,128,586940
32,128,560624
32,128,576078
32,128,563581
32,128,571394
32,128,581268
32,128,573360
32,128,576514
32,128,577634
32,128,578843
32,256,1487978
32,256,1541448
32,256,1493723
32,256,1501482
32,256,1511647
32,256,1470307
32,256,1507903
32,256,1493192
32,256,1491197
32,256,1513574
64,16,43485
64,16,40516
64,16,39275
64,16,39700
64,16,39266
64,16,39803
64,16,41216
64,16,42085
64,16,38987
64,16,41149
64,32,109358
64,32,111012
64,32,110478
64,32,109897
64,32,111030
64,32,108491
64,32,109485
64,32,108548
64,32,107672
64,32,110916
64,64,265878
64,64,262050
64,64,259766
64,64,266083
64,64,261932
64,64,261012
64,64,264012
64,64,264700
64,64,262606
64,64,260431
64,128,670593
64,128,668255
64,128,645809
64,128,684900
64,128,666734
64,128,681458
64,128,665918
64,128,663642
64,128,690344
64,128,687235
64,256,1474514
64,256,1457973
64,256,1545655
64,256,1555399
64,256,1453940
64,256,1580598
64,256,1409962
64,256,1502855
64,256,1578295
64,256,1437728
128,16,67396
128,16,65712
128,16,63358
128,16,64930
128,16,63288
128,16,63226
128,16,65096
128,16,65130
128,16,65383
128,16,62110
128,32,160237
128,32,152538
128,32,155559
128,32,153999
128,32,156495
128,32,153450
128,32,157082
128,32,156000
128,32,149886
128,32,151742
128,64,362629
128,64,352332
128,64,350743
128,64,360644
128,64,357738
128,64,351233
128,64,356127
128,64,352207
128,64,356404
128,64,353644
128,128,890104
128,128,883725
128,128,889025
128,128,891198
128,128,890533
128,128,884820
128,128,878773
128,128,882376
128,128,876047
128,128,886503
128,256,2215208
128,256,2223866
128,256,2190218
128,256,2206816
128,256,2224377
128,256,2225041
128,256,2239133
128,256,2200860
128,256,2257848
128,256,2275348
256,16,140707
256,16,570868
256,16,150694
256,16,132865
256,16,143672
256,16,132315
256,16,139826
256,16,133418
256,16,146702
256,16,159810
256,32,607861
256,32,277389
256,32,272934
256,32,284561
256,32,273193
256,32,687858
256,32,280884
256,32,279841
256,32,276335
256,32,272281
256,64,940158
256,64,587355
256,64,972216
256,64,591852
256,64,599070
256,64,965192
256,64,595245
256,64,811470
256,64,601532
256,64,588446
256,128,1587865
256,128,1597258
256,128,1595136
256,128,1431894
256,128,1507976
256,128,1652847
256,128,1743126
256,128,1585470
256,128,1584294
256,128,1413609
256,256,3691294
256,256,3537981
256,256,3618538
256,256,3564108
256,256,3493921
256,256,3442580
256,256,3449448
256,256,3496136
256,256,3513753
256,256,3510790
