nw,rowcol,time
1,16,903
1,16,921
1,16,923
1,16,918
1,16,903
1,16,928
1,16,930
1,16,928
1,16,925
1,16,923
1,32,4055
1,32,4058
1,32,4049
1,32,4085
1,32,4055
1,32,4057
1,32,5618
1,32,5624
1,32,4744
1,32,4714
1,64,15805
1,64,15784
1,64,17426
1,64,17884
1,64,16952
1,64,14144
1,64,14535
1,64,17904
1,64,17689
1,64,15357
1,128,54889
1,128,54222
1,128,56884
1,128,62998
1,128,54586
1,128,65020
1,128,60530
1,128,64851
1,128,65084
1,128,64664
1,256,221746
1,256,226635
1,256,231526
1,256,217441
1,256,222228
1,256,226456
1,256,225314
1,256,225645
1,256,216466
1,256,234424
