nw,rowcol,time
1,256,2127829
1,256,2117946
1,256,2122674
1,256,2124999
1,256,2124671
1,1024,3575048
1,1024,3579355
1,1024,3573136
1,1024,3588086
1,1024,3573208
1,4096,27732725
1,4096,27694215
1,4096,27632163
1,4096,27643127
1,4096,27700423
1,16384,555569158
1,16384,548594954
1,16384,558401668
1,16384,548912282
1,16384,556605754
4,256,1987792
4,256,2050643
4,256,2048441
4,256,2051695
4,256,2035634
4,1024,2571921
4,1024,2575729
4,1024,2578429
4,1024,2578586
4,1024,2580582
4,4096,11259269
4,4096,11819850
4,4096,11083816
4,4096,10965457
4,4096,10851819
4,16384,179731670
4,16384,179498588
4,16384,177295301
4,16384,171483828
4,16384,168093320
16,256,2046899
16,256,2051948
16,256,2048271
16,256,2065250
16,256,2054558
16,1024,2242181
16,1024,2282342
16,1024,2266104
16,1024,2319834
16,1024,2351350
16,4096,5649892
16,4096,5652390
16,4096,5671212
16,4096,5824683
16,4096,5736405
16,16384,69897261
16,16384,72354287
16,16384,70147544
16,16384,70833519
16,16384,71436420
64,256,2139606
64,256,2132287
64,256,2102800
64,256,2101921
64,256,2123837
64,1024,2310196
64,1024,2337093
64,1024,2363523
64,1024,2418599
64,1024,2359081
64,4096,4587521
64,4096,4872295
64,4096,4860695
64,4096,4900095
64,4096,4897298
64,16384,49107373
64,16384,49312590
64,16384,50217023
64,16384,50925802
64,16384,50519900
256,256,2342841
256,256,2370220
256,256,2381164
256,256,2410812
256,256,2330454
256,1024,2564631
256,1024,2567688
256,1024,2661896
256,1024,2691224
256,1024,2646384
256,4096,5060718
256,4096,5387931
256,4096,5532406
256,4096,5687578
256,4096,5734093
256,16384,73799969
256,16384,75052954
256,16384,75178188
256,16384,75831406
256,16384,76983762
