nw,rowcol,time
1,256,107202
1,256,114312
1,256,115441
1,256,111068
1,256,115413
1,1024,1321043
1,1024,1340116
1,1024,1336600
1,1024,1328473
1,1024,1326885
1,4096,22125146
1,4096,21713442
1,4096,22130627
1,4096,22197769
1,4096,21656134
1,16384,498937661
1,16384,494737247
1,16384,498068146
1,16384,505268167
1,16384,511753934
4,256,41676
4,256,42262
4,256,40952
4,256,41678
4,256,42385
4,1024,408734
4,1024,408547
4,1024,406317
4,1024,405209
4,1024,408722
4,4096,6403175
4,4096,6402284
4,4096,6401051
4,4096,6404310
4,4096,6414639
4,16384,280683473
4,16384,283984518
4,16384,292778443
4,16384,288424475
4,16384,288407198
16,256,24319
16,256,24046
16,256,25307
16,256,22637
16,256,23425
16,1024,156196
16,1024,156725
16,1024,155467
16,1024,154624
16,1024,153698
16,4096,2283617
16,4096,2274597
16,4096,2276691
16,4096,2278644
16,4096,2276063
16,16384,116958709
16,16384,114581113
16,16384,115867076
16,16384,114919259
16,16384,116938987
64,256,29727
64,256,26862
64,256,28414
64,256,25744
64,256,26205
64,1024,105654
64,1024,102687
64,1024,101994
64,1024,99731
64,1024,106651
64,4096,1360222
64,4096,1351913
64,4096,1274477
64,4096,1291789
64,4096,1341733
64,16384,58547714
64,16384,60157465
64,16384,60419210
64,16384,59630279
64,16384,60329165
256,256,126210
256,256,115194
256,256,99408
256,256,586531
256,256,99846
256,1024,216076
256,1024,222588
256,1024,335516
256,1024,730145
256,1024,215856
256,4096,1834357
256,4096,1733675
256,4096,1738738
256,4096,1773568
256,4096,1838306
256,16384,64290035
256,16384,64314488
256,16384,64790270
256,16384,64371142
256,16384,64484274
